census,year,site,block,treatment,plot,species,<0.5m,0.5_1m,<1m,1_2m,2_3m,3_4m,>4m,total
1,2009,C,1,MEGA,C1MEGA,Acacia_brevispica,NA,NA,1,13,6,2,0,22
1,2009,C,1,MEGA,C1MEGA,Acacia_etbaica,NA,NA,17,67,65,21,3,173
1,2009,C,1,MEGA,C1MEGA,Acacia_mellifera,NA,NA,4,9,3,1,0,17
1,2009,C,1,MEGA,C1MEGA,Balanites_rotundifolia,NA,NA,1,0,0,0,1,2
1,2009,C,1,MEGA,C1MEGA,Boscia_angustifolia,0,0,0,2,0,0,0,2
1,2009,C,1,MEGA,C1MEGA,Commiphora_habessinica,NA,NA,1,1,0,0,0,2
1,2009,C,1,MEGA,C1MEGA,Croton_dichogamus,0,0,0,3,1,0,0,4
1,2009,C,1,MEGA,C1MEGA,Grewia_kakothamnos,0,0,0,2,0,0,0,2
1,2009,C,1,MESO,C1MESO,Acacia_brevispica,NA,NA,1,42,50,19,2,114
1,2009,C,1,MESO,C1MESO,Acacia_etbaica,NA,NA,49,65,86,43,12,254
1,2009,C,1,MESO,C1MESO,Acacia_mellifera,NA,NA,1,8,8,0,1,18
1,2009,C,1,MESO,C1MESO,Balanites_rotundifolia,0,0,0,0,0,2,1,3
1,2009,C,1,MESO,C1MESO,Boscia_angustifolia,0,0,0,1,1,0,3,5
1,2009,C,1,MESO,C1MESO,Croton_dichogamus,NA,NA,12,43,7,0,1,63
1,2009,C,1,MESO,C1MESO,Grewia_kakothamnos,NA,NA,3,10,3,0,0,16
1,2009,C,1,MESO,C1MESO,Lycium_europaeum,0,0,0,2,0,0,0,2
1,2009,C,1,OPEN,C1OPEN,Acacia_brevispica,NA,NA,10,53,20,3,1,87
1,2009,C,1,OPEN,C1OPEN,Acacia_etbaica,NA,NA,20,58,43,15,6,142
1,2009,C,1,OPEN,C1OPEN,Acacia_mellifera,NA,NA,26,29,11,4,1,71
1,2009,C,1,OPEN,C1OPEN,Acacia_nilotica,NA,NA,1,0,0,0,0,1
1,2009,C,1,OPEN,C1OPEN,Balanites_rotundifolia,0,0,0,1,1,1,0,3
1,2009,C,1,OPEN,C1OPEN,Boscia_angustifolia,NA,NA,3,3,5,1,0,12
1,2009,C,1,OPEN,C1OPEN,Croton_dichogamus,NA,NA,7,17,1,0,0,25
1,2009,C,1,OPEN,C1OPEN,Grewia_kakothamnos,NA,NA,4,10,4,1,0,19
1,2009,C,1,OPEN,C1OPEN,Lycium_europaeum,0,0,0,2,0,0,0,2
1,2009,C,1,TOTAL,C1TOTAL,Acacia_brevispica,NA,NA,23,88,120,24,5,260
1,2009,C,1,TOTAL,C1TOTAL,Acacia_etbaica,NA,NA,11,42,67,47,27,194
1,2009,C,1,TOTAL,C1TOTAL,Acacia_mellifera,NA,NA,20,31,67,16,3,137
1,2009,C,1,TOTAL,C1TOTAL,Balanites_rotundifolia,NA,NA,1,1,0,1,0,3
1,2009,C,1,TOTAL,C1TOTAL,Boscia_angustifolia,0,0,0,1,2,0,1,4
1,2009,C,1,TOTAL,C1TOTAL,Croton_dichogamus,NA,NA,26,29,17,1,0,73
1,2009,C,1,TOTAL,C1TOTAL,Grewia_kakothamnos,NA,NA,35,16,2,0,0,53
1,2009,C,1,TOTAL,C1TOTAL,Lycium_europaeum,0,0,0,1,0,0,0,1
1,2009,C,2,MEGA,C2MEGA,Acacia_brevispica,NA,NA,7,20,22,4,0,53
1,2009,C,2,MEGA,C2MEGA,Acacia_etbaica,NA,NA,36,42,48,14,2,142
1,2009,C,2,MEGA,C2MEGA,Acacia_mellifera,NA,NA,3,2,4,1,1,11
1,2009,C,2,MEGA,C2MEGA,Boscia_angustifolia,NA,NA,1,0,1,0,2,4
1,2009,C,2,MEGA,C2MEGA,Commiphora_habessinica,NA,NA,5,7,2,0,0,14
1,2009,C,2,MEGA,C2MEGA,Grewia_kakothamnos,0,0,0,2,1,0,0,3
1,2009,C,2,MESO,C2MESO,Acacia_brevispica,NA,NA,4,21,29,4,0,58
1,2009,C,2,MESO,C2MESO,Acacia_etbaica,NA,NA,29,24,50,18,4,125
1,2009,C,2,MESO,C2MESO,Acacia_mellifera,NA,NA,6,1,5,6,5,23
1,2009,C,2,MESO,C2MESO,Acacia_nilotica,0,0,0,0,1,0,0,1
1,2009,C,2,MESO,C2MESO,Balanites_rotundifolia,0,0,0,0,1,1,1,3
1,2009,C,2,MESO,C2MESO,Boscia_angustifolia,NA,NA,1,1,1,0,1,4
1,2009,C,2,MESO,C2MESO,Croton_dichogamus,0,0,0,1,0,0,0,1
1,2009,C,2,MESO,C2MESO,Grewia_kakothamnos,0,0,0,1,0,0,0,1
1,2009,C,2,MESO,C2MESO,Lycium_europaeum,0,0,0,0,1,0,0,1
1,2009,C,2,MESO,C2MESO,NONE,0,0,0,0,0,0,0,0
1,2009,C,2,OPEN,C2OPEN,Acacia_brevispica,NA,NA,2,10,10,1,1,24
1,2009,C,2,OPEN,C2OPEN,Acacia_etbaica,NA,NA,24,21,47,17,2,111
1,2009,C,2,OPEN,C2OPEN,Acacia_mellifera,0,0,0,0,18,4,2,24
1,2009,C,2,OPEN,C2OPEN,Boscia_angustifolia,0,0,0,1,2,0,0,3
1,2009,C,2,OPEN,C2OPEN,Cadaba_farinosa,0,0,0,0,1,0,0,1
1,2009,C,2,OPEN,C2OPEN,Commiphora_habessinica,NA,NA,2,0,0,0,0,2
1,2009,C,2,OPEN,C2OPEN,Croton_dichogamus,0,0,0,1,0,0,0,1
1,2009,C,2,TOTAL,C2TOTAL,Acacia_brevispica,NA,NA,5,42,67,15,3,132
1,2009,C,2,TOTAL,C2TOTAL,Acacia_etbaica,NA,NA,29,45,87,14,4,179
1,2009,C,2,TOTAL,C2TOTAL,Acacia_mellifera,NA,NA,11,26,16,6,4,63
1,2009,C,2,TOTAL,C2TOTAL,Balanites_rotundifolia,NA,NA,3,1,1,0,3,8
1,2009,C,2,TOTAL,C2TOTAL,Boscia_angustifolia,NA,NA,1,3,2,1,0,7
1,2009,C,2,TOTAL,C2TOTAL,Commiphora_habessinica,NA,NA,2,0,0,0,0,2
1,2009,C,2,TOTAL,C2TOTAL,Croton_dichogamus,NA,NA,9,58,20,2,0,89
1,2009,C,2,TOTAL,C2TOTAL,Grewia_kakothamnos,NA,NA,5,6,0,0,0,11
1,2009,C,2,TOTAL,C2TOTAL,Lycium_europaeum,0,0,0,1,0,0,0,1
1,2009,C,3,MEGA,C3MEGA,Acacia_brevispica,NA,NA,17,86,89,20,0,212
1,2009,C,3,MEGA,C3MEGA,Acacia_etbaica,NA,NA,36,41,44,11,9,141
1,2009,C,3,MEGA,C3MEGA,Acacia_mellifera,NA,NA,6,6,8,5,1,26
1,2009,C,3,MEGA,C3MEGA,Boscia_angustifolia,NA,NA,1,3,1,0,2,7
1,2009,C,3,MEGA,C3MEGA,Croton_dichogamus,NA,NA,17,37,20,1,0,75
1,2009,C,3,MEGA,C3MEGA,Cyperus_spp,0,0,0,0,1,0,2,3
1,2009,C,3,MEGA,C3MEGA,Grewia_kakothamnos,0,0,0,15,3,0,0,18
1,2009,C,3,MEGA,C3MEGA,Lycium_europaeum,NA,NA,3,5,1,0,0,9
1,2009,C,3,MESO,C3MESO,Acacia_brevispica,NA,NA,3,43,23,0,0,69
1,2009,C,3,MESO,C3MESO,Acacia_etbaica,NA,NA,26,64,23,6,0,119
1,2009,C,3,MESO,C3MESO,Acacia_mellifera,NA,NA,8,7,5,5,2,27
1,2009,C,3,MESO,C3MESO,Boscia_angustifolia,0,0,0,1,0,1,1,3
1,2009,C,3,MESO,C3MESO,Commiphora_habessinica,0,0,0,1,0,0,0,1
1,2009,C,3,MESO,C3MESO,Croton_dichogamus,NA,NA,15,28,5,1,0,49
1,2009,C,3,MESO,C3MESO,Grewia_kakothamnos,0,0,0,1,1,0,0,2
1,2009,C,3,MESO,C3MESO,Lycium_europaeum,0,0,0,1,0,0,0,1
1,2009,C,3,MESO,C3MESO,NONE,0,0,0,0,0,0,0,0
1,2009,C,3,OPEN,C3OPEN,Acacia_brevispica,NA,NA,5,95,92,1,0,193
1,2009,C,3,OPEN,C3OPEN,Acacia_etbaica,NA,NA,15,36,32,8,3,94
1,2009,C,3,OPEN,C3OPEN,Acacia_mellifera,NA,NA,8,9,11,4,1,33
1,2009,C,3,OPEN,C3OPEN,Balanites_rotundifolia,0,0,0,1,1,2,1,5
1,2009,C,3,OPEN,C3OPEN,Boscia_angustifolia,NA,NA,1,5,2,1,4,13
1,2009,C,3,OPEN,C3OPEN,Commiphora_habessinica,NA,NA,1,0,0,0,0,1
1,2009,C,3,OPEN,C3OPEN,Croton_dichogamus,NA,NA,15,77,36,2,0,130
1,2009,C,3,OPEN,C3OPEN,Cyperus_spp,0,0,0,0,1,2,0,3
1,2009,C,3,OPEN,C3OPEN,Grewia_kakothamnos,NA,NA,2,7,0,0,0,9
1,2009,C,3,TOTAL,C3TOTAL,Acacia_brevispica,NA,NA,29,52,66,17,4,168
1,2009,C,3,TOTAL,C3TOTAL,Acacia_etbaica,NA,NA,33,28,33,11,17,122
1,2009,C,3,TOTAL,C3TOTAL,Acacia_mellifera,NA,NA,8,9,15,5,0,37
1,2009,C,3,TOTAL,C3TOTAL,Balanites_rotundifolia,NA,NA,3,1,1,0,3,8
1,2009,C,3,TOTAL,C3TOTAL,Boscia_angustifolia,NA,NA,1,7,3,0,2,13
