survey,month,year,day,site,block,treatment,plot,line,hare_old,hare_new,dikdik_old,dikdik_new,impala_old,impala_new,elephant_old,elephant_new,warthog_old,warthog_new,zebra_old,zebra_new,buffalo_cow_old,buffalo_cow_new,eland_old,eland_new,camel_old,camel_new,giraffe_old,giraffe_new,waterbuck_old,waterbuck_new,baboon,large_pred,med_pred,small_pred,hippo,kudu_old,kudu_new,porcupine_old,porcupine_new
1,1,2009,15,C,1,OPEN,C1OPEN,1,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,1,OPEN,C1OPEN,4,1,6,0,1,0,1,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,1,OPEN,C1OPEN,7,1,7,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,1,TOTAL,C1TOTAL,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,1,TOTAL,C1TOTAL,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,1,TOTAL,C1TOTAL,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,1,MEGA,C1MEGA,1,0,6,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,1,MEGA,C1MEGA,4,0,12,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,1,MEGA,C1MEGA,7,0,9,1,3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,1,MESO,C1MESO,1,0,12,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,1,MESO,C1MESO,4,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,1,MESO,C1MESO,7,0,10,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,2,OPEN,C2OPEN,1,0,2,3,5,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,2,OPEN,C2OPEN,4,0,12,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,2,OPEN,C2OPEN,7,4,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,2,TOTAL,C2TOTAL,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2009,15,C,2,TOTAL,C2TOTAL,4,12,9,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
