date,year,s_man,c_man,n_man,s1_aut,s2_aut,s3_aut,c1_aut,c2_aut,c3_aut,n1_aut,n2_aut,n3_aut,s_avg,c_avg,n_avg
3-Oct-08,2008,0,6.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,6.60,0.40
4-Oct-08,2008,14.1,13.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.10,13.80,4.80
5-Oct-08,2008,0,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.40,0.00
6-Oct-08,2008,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00,0.00,0.00
7-Oct-08,2008,0,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.40,0.00
8-Oct-08,2008,0.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60,0.00,0.00
9-Oct-08,2008,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.00,0.00,0.00
10-Oct-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
11-Oct-08,2008,3.1,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.10,0.60,0.00
12-Oct-08,2008,9.2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.20,5.00,5.00
13-Oct-08,2008,18.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.20,0.00,0.00
14-Oct-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
15-Oct-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
16-Oct-08,2008,4.6,1.2,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.60,1.20,6.40
17-Oct-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
18-Oct-08,2008,3.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.40,0.00,0.00
19-Oct-08,2008,22.4,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.40,9.00,2.00
20-Oct-08,2008,9.4,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.40,10.00,2.00
21-Oct-08,2008,9.4,9,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.40,9.00,12.60
22-Oct-08,2008,2.4,20,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40,20.00,17.60
23-Oct-08,2008,3.2,8.4,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20,8.40,8.20
24-Oct-08,2008,23.4,53,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.40,53.00,6.80
25-Oct-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
26-Oct-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
27-Oct-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
28-Oct-08,2008,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.00,0.00,0.00
29-Oct-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
30-Oct-08,2008,4,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00,0.80,0.00
31-Oct-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
1-Nov-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
2-Nov-08,2008,3.2,10.6,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20,10.60,6.20
3-Nov-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
4-Nov-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
5-Nov-08,2008,24.2,23,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.20,23.00,23.80
6-Nov-08,2008,23.6,14.4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.60,14.40,25.00
7-Nov-08,2008,20,5,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.00,5.00,2.80
8-Nov-08,2008,24.6,1.2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.60,1.20,11.00
9-Nov-08,2008,0,0,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,3.20
10-Nov-08,2008,4.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.40,0.00,0.00
11-Nov-08,2008,0,11.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,11.40,0.00
12-Nov-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
13-Nov-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
14-Nov-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
15-Nov-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
16-Nov-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
17-Nov-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
18-Nov-08,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
